,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,screen_name,username,user_id,tweet_id,tweet_url,timestamp,timestamp_epochs,text,text_html,links,hashtags,has_media,img_urls,video_url,likes,retweets,replies,is_replied,is_reply_to,parent_tweet_id,reply_to_users,classofspeech,month
2,2,7184,7184,Rosessolutions,Chris Rose,157936491,1161586261104189440,/Rosessolutions/status/1161586261104189440,2019-08-14 10:32:00,1565778720,"Bloody hell! Amber Rudd agrees with me.... Must be a first.
https://www.telegraph.co.uk/politics/2019/08/13/jobs-boom-means-british-economy-ready-anything/ÃÂ Ã¢ÂÂ¦","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Bloody hell! <strong>Amber</strong> <strong>Rudd</strong> agrees with me.... Must be a first.
<a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://www.telegraph.co.uk/politics/2019/08/13/jobs-boom-means-british-economy-ready-anything/"" dir=""ltr"" href=""https://t.co/aHcv8Yy8qG"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.telegraph.co.uk/politics/2019/08/13/jobs-boom-means-british-economy-ready-anything/""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">telegraph.co.uk/politics/2019/</span><span class=""invisible"">08/13/jobs-boom-means-british-economy-ready-anything/</span><span class=""tco-ellipsis""><span class=""invisible"">ÃÂ </span>Ã¢ÂÂ¦</span></a></p>",['https://www.telegraph.co.uk/politics/2019/08/13/jobs-boom-means-british-economy-ready-anything/'],[],False,[],,0,0,0,False,True,1.1613664079988572e+18,"[{'screen_name': 'Rosessolutions', 'user_id': '157936491'}, {'screen_name': 'prieto_alhambra', 'user_id': '3125099313'}, {'screen_name': 'Dr_BoAbrahamsen', 'user_id': '1328954563'}]",offensive_language,8
4,4,7226,7226,jgfinestrat,JG,2706840112,1161558511991623680,/jgfinestrat/status/1161558511991623680,2019-08-14 08:41:44,1565772104,Tell Amber Rudd that as you kick her arse out if the door for good will you!,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Tell <strong>Amber</strong> <strong>Rudd</strong> that as you kick her arse out if the door for good will you!</p>",[],[],False,[],,0,0,0,False,True,1.1613811584013353e+18,"[{'screen_name': 'Conservatives', 'user_id': '14281853'}, {'screen_name': 'TheaDickinson', 'user_id': '21560838'}]",offensive_language,8
27,27,6809,6809,virgosam70,Samanthab1970,973738226161717248,1118639163308421125,/virgosam70/status/1118639163308421125,2019-04-17 22:15:34,1555539334,I agree completely Samantha. Well said. You need context. But Amber Rudd has ignored me three times and still trots out these lies. Well every time she does I will pull her up. And anybody else who repeats it.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">I agree completely Samantha. Well said. You need context. But <strong>Amber</strong> <strong>Rudd</strong> has ignored me three times and still trots out these lies. Well every time she does I will pull her up. And anybody else who repeats it.</p>",[],[],False,[],,0,0,1,True,True,1.1180771491755296e+18,"[{'screen_name': 'stars_go_blue', 'user_id': '20372596'}, {'screen_name': 'melaniekmelvin', 'user_id': '1434950630'}]",offensive_language,4
32,32,6798,6798,telescoper,Peter Coles Ã°ÂÂÂªÃ°ÂÂÂº Ã°ÂÂÂ®Ã°ÂÂÂª Ã°ÂÂÂ³Ã¯Â¸ÂÃ¢ÂÂÃ°ÂÂÂ Ã°ÂÂÂ¬Ã°ÂÂÂ§ Ã°ÂÂÂ· Ã°ÂÂÂ¶,83130849,1118644055108411392,/telescoper/status/1118644055108411392,2019-04-17 22:35:00,1555540500,Amber Rudd is  really letting her leadership ambitions get the better of her.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><strong>Amber</strong> <strong>Rudd</strong> is  really letting her leadership ambitions get the better of her.</p>",[],[],False,[],,0,0,0,False,True,1.117349958557012e+18,"[{'screen_name': 'MarieAnnUK', 'user_id': '1657761703'}, {'screen_name': 'redalphababe', 'user_id': '800177784'}]",offensive_language,4
34,34,5156,5156,Maria4CarmsEast,Maria Carroll Labour Candidate Carmarthen East,2818743011,1121137861019959302,/Maria4CarmsEast/status/1121137861019959302,2019-04-24 19:44:30,1556135070,"Share Share & Share again. Amber Rudd refused to respond to questions re Stephen Smith death, an Ã¢ÂÂoperationalÃ¢ÂÂ matter. 
We cannot allow Amber Rudd & her policies to become Prime Minister not with this on her watch. https://twitter.com/PeoplesMomentum/status/1121001440145809408ÃÂ Ã¢ÂÂ¦","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""en"">Share Share &amp; Share again. <strong>Amber</strong> <strong>Rudd</strong> refused to respond to questions re Stephen Smith death, an Ã¢ÂÂoperationalÃ¢ÂÂ matter. 
We cannot allow <strong>Amber</strong> <strong>Rudd</strong> &amp; her policies to become Prime Minister not with this on her watch. <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/PeoplesMomentum/status/1121001440145809408"" dir=""ltr"" href=""https://t.co/AHXQ7OKMeJ"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/PeoplesMomentum/status/1121001440145809408""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/PeoplesMomentu</span><span class=""invisible"">m/status/1121001440145809408</span><span class=""tco-ellipsis""><span class=""invisible"">ÃÂ </span>Ã¢ÂÂ¦</span></a></p>",['https://twitter.com/PeoplesMomentum/status/1121001440145809408'],[],False,[],,13,25,0,False,False,,[],offensive_language,4
38,38,8213,8213,cpenguina,carol,887940956414201856,1128565893447995392,/cpenguina/status/1128565893447995392,2019-05-15 07:40:51,1557906051,Amber Rudd indicating her unsuitability for the Tory leadership if she is suggesting the Brexit Party is extremist,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><strong>Amber</strong> <strong>Rudd</strong> indicating her unsuitability for the Tory leadership if she is suggesting the Brexit Party is extremist<img alt=""Ã°ÂÂÂ"" aria-label=""Emoji: Face with rolling eyes"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f644.png"" title=""Face with rolling eyes""/></p>",[],[],False,[],,0,0,0,False,True,1.1283710266671556e+18,"[{'screen_name': 'katyballs', 'user_id': '187561714'}]",offensive_language,5
51,51,1413,1413,jtolhurst48,John Tolhurst,2564938366,1138560859075166219,/jtolhurst48/status/1138560859075166219,2019-06-11 21:37:16,1560289036,"All we have heard over the years is hot air, along with Amber Rudderless Rudd, waffling on about something that ain't going to happen.","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">All we have heard over the years is hot air, along with <strong>Amber</strong> Rudderless <strong>Rudd</strong>, waffling on about something that ain't going to happen.</p>",[],[],False,[],,2,0,0,False,True,1.138362110860284e+18,"[{'screen_name': 'nomis1066', 'user_id': '1222871348'}, {'screen_name': 'TimBoothJones', 'user_id': '560177132'}]",offensive_language,6
54,54,5810,5810,J999Y,Jason young,720850772,1154489126860836864,/J999Y/status/1154489126860836864,2019-07-25 20:30:31,1564086631,"Amber Rudd who has tried to sabotage Brexit since the referendum. Given cabinet job & she was part of maybot.
Steve baker who believes in brexit out of cabinet. Boris you twat. What are u thinking. I am done with conservative. Leave 31st my arse. I will VOTE BREXIT PARTY next GE.","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><strong>Amber</strong> <strong>Rudd</strong> who has tried to sabotage Brexit since the referendum. Given cabinet job &amp; she was part of maybot.
Steve baker who believes in brexit out of cabinet. Boris you twat. What are u thinking. I am done with conservative. Leave 31st my arse. I will VOTE BREXIT PARTY next GE.</p>",[],[],False,[],,0,1,0,False,True,1.1544658331139277e+18,"[{'screen_name': 'SteveBakerHW', 'user_id': '15157283'}, {'screen_name': 'BrexitCentral', 'user_id': '760506665728892928'}]",offensive_language,7
62,62,5130,5130,SRK1952,Dr Robert 1966,705464342,1121245425615429633,/SRK1952/status/1121245425615429633,2019-04-25 02:51:55,1556160715,"Can't wait for our MP Amber Rudd to fall. I couldnt bring myself to vote for her.

She's hanging on by her fingernails as it is.","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Can't wait for our MP <strong>Amber</strong> <strong>Rudd</strong> to fall. I couldnt bring myself to vote for her.

She's hanging on by her fingernails as it is.</p>",[],[],False,[],,0,0,0,False,True,1.121134320956203e+18,"[{'screen_name': 'OTVDesk', 'user_id': '884278026191552512'}, {'screen_name': 'Conservatives', 'user_id': '14281853'}]",offensive_language,4
63,63,4284,4284,vosquecrees,VerÃÂ³nica-R.M.,286243878,1141077186167922689,/vosquecrees/status/1141077186167922689,2019-06-18 20:16:16,1560888976,"Did Amber Rudd just say that @Jeremy_Hunt should be supported because he was *an Oxford man*? Was that one of her arguments, or did I imagine it? #BBCOurNextPM","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Did <strong>Amber</strong> <strong>Rudd</strong> just say that <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""112398730"" dir=""ltr"" href=""/Jeremy_Hunt""><s>@</s><b>Jeremy_Hunt</b></a> should be supported because he was *an Oxford man*? Was that one of her arguments, or did I imagine it? <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/BBCOurNextPM?src=hash""><s>#</s><b>BBCOurNextPM</b></a></p>",[],['BBCOurNextPM'],False,[],,0,0,0,False,False,,[],offensive_language,6
