,Unnamed: 0,Unnamed: 0.1,screen_name,username,user_id,tweet_id,tweet_url,timestamp,timestamp_epochs,text,text_html,links,hashtags,has_media,img_urls,video_url,likes,retweets,replies,is_replied,is_reply_to,parent_tweet_id,reply_to_users,classofspeech,month
29,6489,6489,andermcintyre,Ander McIntyre,251211641,1117520068156506112,/andermcintyre/status/1117520068156506112,2019-04-14 20:08:41,1555272521,Justine Greening pic.twitter.com/P2C8ZpQQr2,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><strong>Justine Greening</strong> <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/P2C8ZpQQr2"">pic.twitter.com/P2C8ZpQQr2</a></p>",[],[],True,['https://pbs.twimg.com/media/D4I6kSBWsAIIE2f.jpg'],,2,1,0,False,False,,[],offensive_language,4
43,2482,2482,what_phil_said,whatphilsaid,1110316577503825922,1134462850070654976,/what_phil_said/status/1134462850070654976,2019-05-31 14:13:15,1559311995,"Thank you Justine.  I suspect that Esther isn't actually homophobic, she's just marketing herself to her perceived base. It's a dirty game when you think you have to exclude support for one community in order to 'win'. The shame is on her and I hope she feels it someday.","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Thank you Justine. <img alt=""Ã°ÂÂÂ"" aria-label=""Emoji: Face throwing a kiss"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f618.png"" title=""Face throwing a kiss""/> I suspect that Esther isn't actually homophobic, she's just marketing herself to her perceived base. It's a dirty game when you think you have to exclude support for one community in order to 'win'. The shame is on her and I hope she feels it someday.</p>",[],[],False,[],,0,0,0,False,True,1.1340638405331108e+18,"[{'screen_name': 'JustineGreening', 'user_id': '932446861'}, {'screen_name': 'EstherMcVey1', 'user_id': '761499948890329088'}]",offensive_language,5
59,3669,3669,upickahandle,Gina Rodriguez's 23andMe results,824043182774251520,1137049310925905920,/upickahandle/status/1137049310925905920,2019-06-07 17:30:55,1559928655,"Will you resign the whip if he does so, Justine?","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Will you resign the whip if he does so, Justine?</p>",[],[],False,[],,0,0,0,False,True,1.1366553914404782e+18,"[{'screen_name': 'JustineGreening', 'user_id': '932446861'}, {'screen_name': 'DominicRaab', 'user_id': '4764882552'}]",offensive_language,6
66,1440,1440,xmaseveevil1,xmaseveevil,1574237179,1143903394597355520,/xmaseveevil1/status/1143903394597355520,2019-06-26 15:26:36,1561562796,"'The transgender agenda: forcing us to lie'
Look at 'Justine Greening's' jaw and skull. In fact, take a look at all of them. They are not feminists. IMO they are men in drag, working against women. NB SEX ISN'T GENDER. Ban child sex abuse. Leave kids alone
https://univforum.org/en/article/transgender-agenda-forcing-us-lieÃÂ Ã¢ÂÂ¦","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">'The transgender agenda: forcing us to lie'
Look at '<strong>Justine Greening</strong>'s' jaw and skull. In fact, take a look at all of them. They are not feminists. IMO they are men in drag, working against women. NB SEX ISN'T GENDER. Ban child sex abuse. Leave kids alone
<a class=""twitter-timeline-link"" data-expanded-url=""https://univforum.org/en/article/transgender-agenda-forcing-us-lie"" dir=""ltr"" href=""https://t.co/fUvrngcgz5"" rel=""nofollow noopener"" target=""_blank"" title=""https://univforum.org/en/article/transgender-agenda-forcing-us-lie""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">univforum.org/en/article/tra</span><span class=""invisible"">nsgender-agenda-forcing-us-lie</span><span class=""tco-ellipsis""><span class=""invisible"">ÃÂ </span>Ã¢ÂÂ¦</span></a></p>",['https://univforum.org/en/article/transgender-agenda-forcing-us-lie'],[],False,[],,0,0,0,False,False,,[],offensive_language,6
72,50,50,GLSFighter,GLS,943869187386167296,1164277102088216577,/GLSFighter/status/1164277102088216577,2019-08-21 20:44:27,1566420267,"Thank you sir. Perhaps take @JustineGreening with you.  
She has constituents affected as well.
In my case 3 generations affected who had no choice but followed the advice from a so called expert","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Thank you sir. Perhaps take <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""932446861"" dir=""ltr"" href=""/JustineGreening""><s>@</s><b><strong>JustineGreening</strong></b></a> with you.  
She has constituents affected as well.
In my case 3 generations affected who had no choice but followed the advice from a so called expert</p>",[],[],False,[],,3,1,0,False,True,1.1641303135403827e+18,"[{'screen_name': 'S_Hammond', 'user_id': '47916280'}, {'screen_name': 'LCAG_2019', 'user_id': '978287164315324416'}, {'screen_name': 'loanchargeAPPG', 'user_id': '1088148455606890496'}]",offensive_language,8
83,7279,7279,Ackersstan,Alan Stanley Ã°ÂÂÂ¶,913111273,1125757574446497792,/Ackersstan/status/1125757574446497792,2019-05-07 13:41:35,1557236495,I re-read it after your tweet to make sure IÃ¢ÂÂd read it right! She is advocating a second referendum from a Tory viewpoint so I guess thatÃ¢ÂÂs what makes her moderate. You are right she mentions no deal but only as an option on the ballot paper. Arguably this might lance the boil?,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">I re-read it after your tweet to make sure IÃ¢ÂÂd read it right! She is advocating a second referendum from a Tory viewpoint so I guess thatÃ¢ÂÂs what makes her moderate. You are right she mentions no deal but only as an option on the ballot paper. Arguably this might lance the boil?</p>",[],[],False,[],,0,0,1,True,True,1.1245710449568358e+18,"[{'screen_name': 'Puddleglum55', 'user_id': '4187441979'}, {'screen_name': 'JustineGreening', 'user_id': '932446861'}]",offensive_language,5
104,1356,1356,starmanuk,Jason Starman,20530852,1144247902262444032,/starmanuk/status/1144247902262444032,2019-06-27 14:15:33,1561644933,"I'm not saying a sea of white faces can't stand up against racism.  But one has to wonder why the 
@LGBTCons  couldn't get one person of colour to show up for the photo call. Any thoughts @JustineGreening?  #PrideMonth #LGBTQ https://twitter.com/LGBTCons/status/1144225505178202112ÃÂ Ã¢ÂÂ¦pic.twitter.com/WPyAWWQabX","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">I'm not saying a sea of white faces can't stand up against racism.  But one has to wonder why the 
<a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""84287939"" dir=""ltr"" href=""/LGBTCons""><s>@</s><b>LGBTCons</b></a>  couldn't get one person of colour to show up for the photo call. Any thoughts <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""932446861"" dir=""ltr"" href=""/JustineGreening""><s>@</s><b><strong>JustineGreening</strong></b></a>?  <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/PrideMonth?src=hash""><s>#</s><b>PrideMonth</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/LGBTQ?src=hash""><s>#</s><b>LGBTQ</b></a> <a class=""twitter-timeline-link"" data-expanded-url=""https://twitter.com/LGBTCons/status/1144225505178202112"" dir=""ltr"" href=""https://t.co/wdFYFgTTKv"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/LGBTCons/status/1144225505178202112""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/LGBTCons/statu</span><span class=""invisible"">s/1144225505178202112</span><span class=""tco-ellipsis""><span class=""invisible"">ÃÂ </span>Ã¢ÂÂ¦</span></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/WPyAWWQabX"">pic.twitter.com/WPyAWWQabX</a></p>",['https://twitter.com/LGBTCons/status/1144225505178202112'],"['PrideMonth', 'LGBTQ']",True,['https://pbs.twimg.com/media/D-EvRMxW4AAnuXY.jpg'],,0,1,0,False,False,,[],offensive_language,6
105,7002,7002,jamesmaytrainer,Not Mark Podbury #golfmates,3040491639,1126508351817306112,/jamesmaytrainer/status/1126508351817306112,2019-05-09 15:24:55,1557415495,pic.twitter.com/FLx05ZmvL1,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""und""><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/FLx05ZmvL1"">pic.twitter.com/FLx05ZmvL1</a></p>",[],[],True,['https://pbs.twimg.com/media/D6IpXhpV4AU_ar8.jpg'],,3,0,1,True,True,1.1265079691918746e+18,"[{'screen_name': 'Dpugh54', 'user_id': '224581395'}]",offensive_language,5
123,2786,2786,JohnLH14,John Ã°ÂÂÂ¬Ã°ÂÂÂ§ proudly British Ã°ÂÂÂ¬Ã°ÂÂÂ§,1102231303045435393,1151948254772387840,/JohnLH14/status/1151948254772387840,2019-07-18 20:14:00,1563480840,Wish you lived in ....pic.twitter.com/YPFLMvbZ8K,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Wish you lived in ....<a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/YPFLMvbZ8K"">pic.twitter.com/YPFLMvbZ8K</a></p>",[],[],True,['https://pbs.twimg.com/media/D_yK1JoW4AAY51Q.jpg'],,0,0,0,False,True,1.151784646717444e+18,"[{'screen_name': 'StuartBudd1', 'user_id': '286332390'}, {'screen_name': 'JustineGreening', 'user_id': '932446861'}]",offensive_language,7
142,8983,8983,LGBT_TT,LGBT Talk,875357804835590145,1115066778751782919,/LGBT_TT/status/1115066778751782919,2019-04-08 01:40:11,1554687611,Out Tory MP Justine Greening: LGBT students 'frankly deserve better' sex ed #LGBThttps://www.pinknews.co.uk/2019/04/07/justine-greening-lgbt-sex-education/ÃÂ Ã¢ÂÂ¦,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Out Tory MP <strong>Justine Greening</strong>: LGBT students 'frankly deserve better' sex ed <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/LGBT?src=hash""><s>#</s><b>LGBT</b></a><a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://www.pinknews.co.uk/2019/04/07/justine-greening-lgbt-sex-education/"" dir=""ltr"" href=""https://t.co/JEwDQIvAJO"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.pinknews.co.uk/2019/04/07/justine-greening-lgbt-sex-education/""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">pinknews.co.uk/2019/04/07/jus</span><span class=""invisible"">tine-greening-lgbt-sex-education/</span><span class=""tco-ellipsis""><span class=""invisible"">ÃÂ </span>Ã¢ÂÂ¦</span></a></p>",['https://www.pinknews.co.uk/2019/04/07/justine-greening-lgbt-sex-education/'],['LGBThttps'],False,[],,0,0,0,False,False,,[],offensive_language,4
