,Unnamed: 0,Date,Name,Tweets,Tags,Hashtags,classofspeech
468,468,1558040366,Barry Freshwater,@UKLabour MP's @jeremycorbyn @tom_watson @EmilyThornberry how proud you must be to have the support of a terrorist organisation Hamas. Just a reminder they want to kill all Jews. Are you happy to have their support?,,[],hate_speech
968,968,1559057688,black neolefty humanist,"""White people aren't racist, they're just being duped by the billionaires!"", actually no, the billionaires just know how to use white racism and sexism to uphold class inequality, while giving those same whites a moral and often economic stake in the system.",,[],hate_speech
1215,1215,1559523316,Ragnarok Lobster,I'm really taxing my brain to guess which white guy she WON'T be trying to push out of the race.,,[],hate_speech
3656,3656,1565271174,Neera Tanden,This tweet is not based on any facts. Bill Clinton won the highest share of white working class voters in 1992. White non col women moved to the Dems in 2018 from 2016. Wisconsin is 57% white non college. Women are moveable. They donÂt like the racism But they need outreach too,,[],hate_speech
3857,3857,1565638026,J P Maze,"Thank you for putting a number on it. In 1892, the Geortgia populist leader, Tom Watson, told a crowd of black and white laborers: ÂYou are made to hate each other because upon that hatred is rested the keystone of the arch of financial despotism which enslaves you both.""",,[],hate_speech
3948,3948,1565816750,The Resistance,"Yes, that's what we need in 2019-- white people explaining who is black enough.",,[],hate_speech
4667,4667,1567455384,Federico Chispas,And lemme guess.  YouÂre some white public defender whose primary contact with black folks is as criminal defendants so you view race issues through a narrow and condescending lens,,[],hate_speech
4671,4671,1567448820,Yashka,Wait a sec... what exactly is the Âracist tropeÂ here?,,[],hate_speech
4916,4916,1567912033,The Resistance,He's not quoting anyone. It is a gratuitous use of the word to try to explain why poor white people are racist.,,[],hate_speech
5222,5222,1568604355,Federico Chispas,I literally hate you.,,[],hate_speech
5344,5344,1568902731,Robert Caruso,It is if your platform is white reparations.,,[],hate_speech
5584,5584,1569499840,Anonymous,"No surprises there, then. Strange how thereÂs no outcry from him nor the 50 White, privileged MPs that marched together, in the full glare of MSM, to lifelong anti racist campaigner @Marcwads Disciplinary Hearing, about this. WhereÂs  the Âzero toleranceÂ here @tom_watson ? pic.twitter.com/0i5aKWYr1Q",,[],hate_speech
5719,5719,1569781751,The Trashies,Tom Watson principled anti-racist circa 2019 was crying tears about his mate Woolas being done dirty for peddling racist leaflets in this era. But yes BBC please do get quotes by him on how principled anti-racist Hodge is.,,[],hate_speech
5764,5764,1569811021,Anonymous,*white American culture,,[],hate_speech
6104,6104,1570827964,Harry,"You did your best @tom_watson? IÂd hate to see your worst. 
You hate seeing people in pain? What about Brittan who was dying of cancer & you supported his false rape accusers, claiming you believe them without evidence? 
Failed police inquiries? You mean YOUR failed inquiries?! https://twitter.com/Channel4News/status/1182704431437111298Â Â",,[],hate_speech
6569,6569,1571835185,Warren can go get a job selling life insurance.,How else would it work for them in a white patriarchal society. ItÂs no ÂmysteryÂ that all the candidates of color have less media air time than their white counterparts,,[],hate_speech
6895,6895,1572529330,Al Murray - FRIDAY: BRIGHTON,Get to fuck you racist enabling prick,,[],hate_speech
7226,7226,1573334347,Anonymous,"ahem, might white of youpic.twitter.com/QoNCsNOrQF",,[],hate_speech
